Z-Height,RPM_0.1,RPM_0.2,RPM_0.3,RPM_0.6,RPM_0.8,RPM_1.0,RPM_1.2,RPM_1.5,RPM_2.0,RPM_2.5
-65.55,5.16,11.94,17.64,34.78,48.73,61.24,74.67,92.16,,
-65.6,29.55,13.18,18.09,35.54,49.77,62.51,76.2,92.02,,
-65.65,31.9,13.93,18.91,36.98,52.07,65.39,79.77,91.55,,
-65.7,35.79,14.87,19.78,38.55,54.48,68.55,83.7,93.73,,
-65.75,40.35,16.1,20.81,40.36,57.28,72.29,88.38,96.27,,
